Country,year,Region,Health expenditure per capita US,"Hospital beds (per 1,000 people)",Number of physicians(per 1000 people),"Mortality from CVD,cancer,diabetes or CRD",Population growth (annual %)
Afghanistan,2006,South Asia,27.83657074,0.42,0.1596,40.5,2.9905238360968
Afghanistan,2007,South Asia,31.27183914,0.42,0.1743,40.1,2.49383039084495
Afghanistan,2008,South Asia,38.10266113,0.42,0.1744,39.4,2.26827304079294
Afghanistan,2009,South Asia,41.72274399,0.42,0.2126,38.4,2.39697830237036
Afghanistan,2010,South Asia,44.99053192,0.43,0.2365,37.8,2.74661463795293
Afghanistan,2011,South Asia,50.85347366,0.44,0.2518,37.1,3.14310555651301
Afghanistan,2012,South Asia,51.44026184,0.53,0.2414,36.6,3.40760003260595
Afghanistan,2013,South Asia,55.03462982,0.53,0.2846,36.2,3.49459192739625
Afghanistan,2014,South Asia,59.00893402,0.5,0.2983,35.7,3.35560233082199
Afghanistan,2015,South Asia,58.90652847,0.5,0.285,35.6,3.07705362914441
Afghanistan,2016,South Asia,60.18867111,0.5,0.2782,35.6,2.77803478841236
Albania,2000,Europe & Central Asia,80.61695099,3.26,1.3821,18.7,-0.637356833943492
Albania,2001,Europe & Central Asia,89.58073425,3.26,1.31,15.7,-0.93847042771206
Albania,2002,Europe & Central Asia,96.27111816,3.14,1.1695,16.6,-0.299876697084691
Albania,2003,Europe & Central Asia,125.98797607,3.07,1.1863,17.3,-0.374149169291299
Albania,2004,Europe & Central Asia,156.56817627,3.01,1.1913,16.7,-0.417931377925999
Albania,2006,Europe & Central Asia,174.53024292,3.12,1.1838,21.4,-0.630911244851673
Albania,2007,Europe & Central Asia,222.30366516,3.09,1.1951,21.2,-0.75571875541991
Albania,2009,Europe & Central Asia,186.44281006,3.01,1.2297,20.2,-0.673894046451936
Albania,2010,Europe & Central Asia,192.0032196,2.99,1.2347,19.5,-0.49646196338738
Albania,2011,Europe & Central Asia,211.07551575,2.88,1.2217,19.2,-0.269017331764615
Albania,2012,Europe & Central Asia,213.71974182,2.88,1.2683,14.4,-0.165151040121679
Albania,2013,Europe & Central Asia,236.95796204,2.89,1.2773,13.8,-0.183211384606402
Antigua and Barbuda,2007,Latin America & Caribbean,694.53643799,1,1.7143,20.1,1.57610132986139
Antigua and Barbuda,2008,Latin America & Caribbean,673.83752441,1.7,0.5269,19.8,1.61138633575081
Antigua and Barbuda,2017,Latin America & Caribbean,795.55981445,2.89,2.956,17.8,0.952914631258636
Argentina,2005,Latin America & Caribbean,392.58874512,1,3.21,18.8,1.03626836534216
Argentina,2010,Latin America & Caribbean,985.03442383,4.5,3.21,17.8,0.752217992640236
Argentina,2013,Latin America & Caribbean,1421.65759277,4.78,3.9385,1,1.11910919999772
Argentina,2016,Latin America & Caribbean,1153.53405762,4.95,4.0013,16.8,1.05718157762752
Argentina,2017,Latin America & Caribbean,1529.61621094,4.99,3.9901,16.2,1.03713389686514
Armenia,2000,Europe & Central Asia,26.12908936,6.44,2.7007,26.7,-0.630760587863762
Armenia,2001,Europe & Central Asia,32.25933838,5.03,2.6187,26.2,-0.617979926225355
Armenia,2002,Europe & Central Asia,59.63238907,4.35,2.5633,25.9,-0.549251281615873
Armenia,2003,Europe & Central Asia,66.77802277,4.42,2.4563,25.8,-0.53001538172706
